player_name,team_name,goals
E. HAALAND,MANCHESTER CITY,19
H. KANE,TOTTENHAM HOTSPUR,10
A. MITROVIC,FULHAM,9
I. TONEY,BRENTFORD,9
C. WILSON,NEWCASTLE UNITED,8
G. MARTINELLI,ARSENAL,7
L. TROSSARD,BRIGHTON & HOVE ALBION,7
M. ALMIRON,NEWCASTLE UNITED,7
B. SAKA,ARSENAL,6
J. MADDISON,LEICESTER CITY,6
P. FODEN,MANCHESTER CITY,6
R. FIRMINO,LIVERPOOL,6
RODRIGO,LEEDS UNITED,6
G. JESUS,ARSENAL,5
H. BARNES,LEICESTER CITY,5
M. ODEGAARD,ARSENAL,5
M. RASHFORD,MANCHESTER UNITED,5
M. SALAH,LIVERPOOL,5
W. ZAHA,CRYSTAL PALACE,5
A. MAC ALLISTER,BRIGHTON & HOVE ALBION,4
K. DE BRUYNE,MANCHESTER CITY,4
P. GROSS,BRIGHTON & HOVE ALBION,4
A. GORDON,EVERTON,3
A. ISAK,NEWCASTLE UNITED,3
ANTONY,MANCHESTER UNITED,3
B. FERNANDES,MANCHESTER UNITED,3
B. REID,FULHAM,3
C. ADAMS,SOUTHAMPTON,3
D. INGS,ASTON VILLA,3
D. NUNEZ,LIVERPOOL,3
G. XHAKA,ARSENAL,3
J. ALVAREZ,MANCHESTER CITY,3
JOELINTON,NEWCASTLE UNITED,3
J. SANCHO,MANCHESTER UNITED,3
K. HAVERTZ,CHELSEA,3
K. MOORE,AFC BOURNEMOUTH,3
L. DIAZ,LIVERPOOL,3
L. SINISTERRA,LEEDS UNITED,3
O. EDOUARD,CRYSTAL PALACE,3
O. WATKINS,ASTON VILLA,3
P. BILLING,AFC BOURNEMOUTH,3
P. DAKA,LEICESTER CITY,3
P. HOJBJERG,TOTTENHAM HOTSPUR,3
R. MAHREZ,MANCHESTER CITY,3
R. NEVES,WOLVERHAMPTON WANDERERS,3
R. STERLING,CHELSEA,3
SON HEUNG-MIN,TOTTENHAM HOTSPUR,3
T. AWONIYI,NOTTINGHAM FOREST,3
Y. WISSA,BRENTFORD,3
A. MARTIAL,MANCHESTER UNITED,2
B. GUIMARAES,NEWCASTLE UNITED,2
B. JOHNSON,NOTTINGHAM FOREST,2
B. MBEUMO,BRENTFORD,2
B. MEE,BRENTFORD,2
B. SILVA,MANCHESTER CITY,2
C. SUMMERVILLE,LEEDS UNITED,2
D. KULUSEVSKI,TOTTENHAM HOTSPUR,2
D. MCNEIL,EVERTON,2
D. PODENCE,WOLVERHAMPTON WANDERERS,2
D. SOLANKE,AFC BOURNEMOUTH,2
E. DIER,TOTTENHAM HOTSPUR,2
E. EZE,CRYSTAL PALACE,2
F. CARVALHO,LIVERPOOL,2
G. SCAMACCA,WEST HAM UNITED,2
H. REED,FULHAM,2
I. GUNDOGAN,MANCHESTER CITY,2
J. ARIBO,SOUTHAMPTON,2
J. BOWEN,WEST HAM UNITED,2
J. CANCELO,MANCHESTER CITY,2
J. DASILVA,BRENTFORD,2
J. GREALISH,MANCHESTER CITY,2
J. HARRISON,LEEDS UNITED,2
J. LERMA,AFC BOURNEMOUTH,2
JORGINHO,CHELSEA,2
J. PALHINHA,FULHAM,2
K. KOULIBALY,CHELSEA,2
K. ZOUMA,WEST HAM UNITED,2
L. BAILEY,ASTON VILLA,2
M. ANTONIO,WEST HAM UNITED,2
M. MOUNT,CHELSEA,2
R. BENTANCUR,TOTTENHAM HOTSPUR,2
R. NELSON,ARSENAL,2
R. SESSEGNON,TOTTENHAM HOTSPUR,2
T. PARTEY,ARSENAL,2
V. VAN DIJK,LIVERPOOL,2
WILLIAN,FULHAM,2
W. SALIBA,ARSENAL,2
Y. TIELEMANS,LEICESTER CITY,2
A. ARMSTRONG,SOUTHAMPTON,1
A. BROJA,CHELSEA,1
A. IWOBI,EVERTON,1
A. MAC ALLISTER (O.G.),MANCHESTER UNITED,1
A. PEREIRA,FULHAM,1
A. SAINT-MAXIMIN,NEWCASTLE UNITED,1
A. TRAORE,WOLVERHAMPTON WANDERERS,1
A. WEBSTER (O.G.),LIVERPOOL,1
A. YOUNG,ASTON VILLA,1
B. AARONSON,LEEDS UNITED,1
B. CHILWELL,CHELSEA,1
B. DAVIES,TOTTENHAM HOTSPUR,1
